date,count
2013-12-30,471407
2013-12-31,438294
2014-01-01,370205
2014-01-02,465573
2014-01-03,478475
2014-01-04,417652
2014-01-05,426731
2014-01-06,528835
2014-01-07,524942
2014-01-08,439381
2014-01-09,411443
2014-01-10,407019
2014-01-11,379291
2014-01-12,392649
2014-01-13,389910
2014-01-14,384416
2014-01-15,385401
2014-01-16,397112
2014-01-17,411836
2014-01-18,428457
2014-01-19,434492
2014-01-20,501847
2014-01-21,462654
2014-01-22,465925
2014-01-23,449124
2014-01-24,435777
2014-01-25,441509
2014-01-26,457569
2014-01-27,452915
2014-01-28,469196
2014-01-29,446091
2014-01-30,421299
2014-01-31,401919
2014-02-01,412021
2014-02-02,427913
2014-02-03,520314
2014-02-04,512438
2014-02-05,525131
2014-02-06,496887
2014-02-07,494121
2014-02-08,491348
2014-02-09,516449
2014-02-10,493203
2014-02-11,485458
2014-02-12,482084
2014-02-13,500157
2014-02-14,469221
2014-02-15,455626
2014-02-16,462184
2014-02-17,509244
2014-02-18,480940
2014-02-19,463176
2014-02-20,448365
2014-02-21,428404
2014-02-22,418208
2014-02-23,439044
2014-02-24,431118
2014-02-25,430825
2014-02-26,418901
2014-02-27,420523
2014-02-28,394973
2014-03-01,408982
2014-03-02,427248
2014-03-03,511368
2014-03-04,478275
2014-03-05,445169
2014-03-06,439665
2014-03-07,426036
2014-03-08,423271
2014-03-09,441856
2014-03-10,441153
2014-03-11,420663
2014-03-12,434563
2014-03-13,427673
2014-03-14,398839
2014-03-15,390511
2014-03-16,416214
2014-03-17,432376
2014-03-18,402939
2014-03-19,399056
2014-03-20,391112
2014-03-21,364642
2014-03-22,368904
2014-03-23,394656
2014-03-24,395588
2014-03-25,391836
2014-03-26,379248
2014-03-27,367787
2014-03-28,347661
2014-03-29,358886
2014-03-30,375707
2014-03-31,355052
2014-04-01,359684
2014-04-02,352703
2014-04-03,342866
2014-04-04,327917
2014-04-05,327672
2014-04-06,345081
2014-04-07,414289
2014-04-08,403973
2014-04-09,390841
2014-04-10,381823
2014-04-11,362530
2014-04-12,361028
2014-04-13,387983
2014-04-14,402621
2014-04-15,416237
2014-04-16,393637
2014-04-17,375660
2014-04-18,367338
2014-04-19,339680
2014-04-20,334153
2014-04-21,375916
2014-04-22,345591
2014-04-23,343510
2014-04-24,349937
2014-04-25,324031
2014-04-26,322430
2014-04-27,348208
2014-04-28,354265
2014-04-29,352519
2014-04-30,347340
2014-05-01,332039
2014-05-02,305893
2014-05-03,308666
2014-05-04,336104
2014-05-05,427685
2014-05-06,428322
2014-05-07,413070
2014-05-08,397167
2014-05-09,368676
2014-05-10,362824
2014-05-11,373579
2014-05-12,384927
2014-05-13,402143
2014-05-14,375963
2014-05-15,363126
2014-05-16,344212
2014-05-17,334531
2014-05-18,352522
2014-05-19,356745
2014-05-20,366939
2014-05-21,351896
2014-05-22,338328
2014-05-23,312458
2014-05-24,296380
2014-05-25,287753
2014-05-26,325376
2014-05-27,338138
2014-05-28,342934
2014-05-29,335716
2014-05-30,308893
2014-05-31,291815
2014-06-01,303615
2014-06-02,323584
2014-06-03,351443
2014-06-04,327507
2014-06-05,307698
2014-06-06,295425
2014-06-07,272149
2014-06-08,282154
2014-06-09,319719
2014-06-10,314308
2014-06-11,308527
2014-06-12,297889
2014-06-13,287655
2014-06-14,293686
2014-06-15,287061
2014-06-16,337842
2014-06-17,337018
2014-06-18,330943
2014-06-19,324122
2014-06-20,303913
2014-06-21,278231
2014-06-22,272011
2014-06-23,319645
2014-06-24,324238
2014-06-25,312987
2014-06-26,307047
2014-06-27,293285
2014-06-28,263752
2014-06-29,257371
2014-06-30,306640
2014-07-01,297201
2014-07-02,290410
2014-07-03,269516
2014-07-04,232830
2014-07-05,208398
2014-07-06,233495
2014-07-07,327750
2014-07-08,330953
2014-07-09,324824
2014-07-10,314078
2014-07-11,303207
2014-07-12,274248
2014-07-13,268513
2014-07-14,315154
2014-07-15,312491
2014-07-16,308103
2014-07-17,287633
2014-07-18,272615
2014-07-19,241840
2014-07-20,241321
2014-07-21,284759
2014-07-22,289497
2014-07-23,280304
2014-07-24,279603
2014-07-25,262592
2014-07-26,235692
2014-07-27,235210
2014-07-28,270332
2014-07-29,266359
2014-07-30,265831
2014-07-31,264163
2014-08-01,252847
2014-08-02,231151
2014-08-03,226913
2014-08-04,325378
2014-08-05,314357
2014-08-06,298545
2014-08-07,293048
2014-08-08,289546
2014-08-09,251892
2014-08-10,267233
2014-08-11,292668
2014-08-12,292488
2014-08-13,282405
2014-08-14,262207
2014-08-15,251221
2014-08-16,234148
2014-08-17,241191
2014-08-18,267672
2014-08-19,272640
2014-08-20,266880
2014-08-21,256446
2014-08-22,253732
2014-08-23,238272
2014-08-24,240987
2014-08-25,257393
2014-08-26,254946
2014-08-27,254940
2014-08-28,249283
2014-08-29,241885
2014-08-30,226521
2014-08-31,226074
2014-09-01,265624
2014-09-02,327438
2014-09-03,319009
2014-09-04,309848
2014-09-05,288197
2014-09-06,275782
2014-09-07,292957
2014-09-08,308222
2014-09-09,306264
2014-09-10,289779
2014-09-11,288775
2014-09-12,269519
2014-09-13,259274
2014-09-14,280625
2014-09-15,285091
2014-09-16,289670
2014-09-17,277733
2014-09-18,268033
2014-09-19,253456
2014-09-20,246182
2014-09-21,265413
2014-09-22,273440
2014-09-23,269544
2014-09-24,271727
2014-09-25,252089
2014-09-26,232034
2014-09-27,221562
2014-09-28,232657
2014-09-29,247075
2014-09-30,242422
2014-10-01,243654
2014-10-02,237565
2014-10-03,216739
2014-10-04,207369
2014-10-05,233611
2014-10-06,305581
2014-10-07,317364
2014-10-08,315049
2014-10-09,296083
2014-10-10,282000
2014-10-11,266255
2014-10-12,279106
2014-10-13,319150
2014-10-14,303125
2014-10-15,292805
2014-10-16,285672
2014-10-17,266001
2014-10-18,254229
2014-10-19,272180
2014-10-20,294926
2014-10-21,285473
2014-10-22,282566
2014-10-23,271200
2014-10-24,254422
2014-10-25,240331
2014-10-26,255637
2014-10-27,283178
2014-10-28,279239
2014-10-29,260411
2014-10-30,241385
2014-10-31,204290
2014-11-01,210487
2014-11-02,233850
2014-11-03,358733
2014-11-04,359681
2014-11-05,351192
2014-11-06,342531
2014-11-07,321466
2014-11-08,301891
2014-11-09,317696
2014-11-10,342983
2014-11-11,347572
2014-11-12,322629
2014-11-13,323723
2014-11-14,310412
2014-11-15,283776
2014-11-16,307411
2014-11-17,338141
2014-11-18,320615
2014-11-19,310857
2014-11-20,319635
2014-11-21,303480
2014-11-22,277579
2014-11-23,291072
2014-11-24,312761
2014-11-25,295970
2014-11-26,273533
2014-11-27,222914
2014-11-28,247473
2014-11-29,252198
2014-11-30,268435
2014-12-01,306708
2014-12-02,310759
2014-12-03,294937
2014-12-04,284290
2014-12-05,272080
2014-12-06,246105
2014-12-07,252472
2014-12-08,280517
2014-12-09,274041
2014-12-10,268745
2014-12-11,267565
2014-12-12,249352
2014-12-13,308330
2014-12-14,310037
2014-12-15,344313
2014-12-16,314130
2014-12-17,290317
2014-12-18,315092
2014-12-19,308599
2014-12-20,275214
2014-12-21,267044
2014-12-22,301932
2014-12-23,294198
2014-12-24,256361
2014-12-25,204949
2014-12-26,236241
2014-12-27,236619
2014-12-28,235577
2014-12-29,285948
2014-12-30,287918
2014-12-31,267651
2015-01-01,229243
2015-01-02,271057
2015-01-03,265354
2015-01-04,264481
2015-01-05,292948
2015-01-06,364697
2015-01-07,366184
2015-01-08,364760
2015-01-09,345910
2015-01-10,323727
2015-01-11,324586
2015-01-12,368663
2015-01-13,352764
2015-01-14,359137
2015-01-15,360065
2015-01-16,328790
2015-01-17,294964
2015-01-18,292593
2015-01-19,357332
2015-01-20,343290
2015-01-21,342575
2015-01-22,339626
2015-01-23,328936
2015-01-24,292441
2015-01-25,303957
2015-01-26,334852
2015-01-27,300205
2015-01-28,238403
2015-01-29,233179
2015-01-30,282446
2015-01-31,257649
2015-02-01,268513
2015-02-02,393838
2015-02-03,389643
2015-02-04,389368
2015-02-05,374552
2015-02-06,334264
2015-02-07,301732
2015-02-08,312510
2015-02-09,348072
2015-02-10,331438
2015-02-11,352562
2015-02-12,338328
2015-02-13,318120
2015-02-14,281833
2015-02-15,278007
2015-02-16,341267
2015-02-17,339379
2015-02-18,321683
2015-02-19,315437
2015-02-20,291564
2015-02-21,249319
2015-02-22,244287
2015-02-23,274743
2015-02-24,288423
2015-02-25,280611
2015-02-26,288995
2015-02-27,281951
2015-02-28,257534
2015-03-01,267026
2015-03-02,354856
2015-03-03,349206
2015-03-04,333018
2015-03-05,338554
2015-03-06,306448
2015-03-07,280985
2015-03-08,278615
2015-03-09,311932
2015-03-10,300064
2015-03-11,286712
2015-03-12,260041
2015-03-13,224574
2015-03-14,202043
2015-03-15,202283
2015-03-16,213402
2015-03-17,211915
2015-03-18,209942
2015-03-19,217387
2015-03-20,211665
2015-03-21,192022
2015-03-22,212026
2015-03-23,236599
2015-03-24,238466
2015-03-25,239044
2015-03-26,250704
2015-03-27,242146
2015-03-28,216165
2015-03-29,223510
2015-03-30,254810
2015-03-31,251113
2015-04-01,245206
2015-04-02,232107
2015-04-03,224185
2015-04-04,205441
2015-04-05,196440
2015-04-06,307584
2015-04-07,306409
2015-04-08,306858
2015-04-09,305332
2015-04-10,283645
2015-04-11,252110
2015-04-12,263892
2015-04-13,294628
2015-04-14,296969
2015-04-15,288149
2015-04-16,289407
2015-04-17,269604
2015-04-18,240509
2015-04-19,262632
2015-04-20,301051
2015-04-21,294827
2015-04-22,297452
2015-04-23,282876
2015-04-24,262198
2015-04-25,237348
2015-04-26,256348
2015-04-27,283055
2015-04-28,276874
2015-04-29,278820
2015-04-30,271483
2015-05-01,242062
2015-05-02,212315
2015-05-03,227592
2015-05-04,338202
2015-05-05,327948
2015-05-06,315872
2015-05-07,292632
2015-05-08,270041
2015-05-09,247123
2015-05-10,246831
2015-05-11,287608
2015-05-12,270078
2015-05-13,278741
2015-05-14,267952
2015-05-15,253362
2015-05-16,236482
2015-05-17,241180
2015-05-18,275618
2015-05-19,275045
2015-05-20,274112
2015-05-21,254902
2015-05-22,236616
2015-05-23,209365
2015-05-24,204618
2015-05-25,232255
2015-05-26,254531
2015-05-27,256716
2015-05-28,247626
2015-05-29,234482
2015-05-30,207735
2015-05-31,220169
2015-06-01,315019
2015-06-02,311580
2015-06-03,298878
2015-06-04,291345
2015-06-05,275367
2015-06-06,244346
2015-06-07,250705
2015-06-08,296812
2015-06-09,289229
2015-06-10,275365
2015-06-11,280915
2015-06-12,263292
2015-06-13,229449
2015-06-14,229286
2015-06-15,284092
2015-06-16,278114
2015-06-17,272605
2015-06-18,264018
2015-06-19,247943
2015-06-20,212020
2015-06-21,201762
2015-06-22,254885
2015-06-23,245603
2015-06-24,246002
2015-06-25,241789
2015-06-26,227202
2015-06-27,198972
2015-06-28,196940
2015-06-29,246100
2015-06-30,243814
2015-07-01,239491
2015-07-02,234320
2015-07-03,199021
2015-07-04,172749
2015-07-05,168449
2015-07-06,281678
2015-07-07,281123
2015-07-08,272255
2015-07-09,268785
2015-07-10,247827
2015-07-11,210937
2015-07-12,210535
2015-07-13,265002
2015-07-14,265462
2015-07-15,258851
2015-07-16,257201
2015-07-17,246252
2015-07-18,211582
2015-07-19,211308
2015-07-20,266060
2015-07-21,265165
2015-07-22,253827
2015-07-23,224827
2015-07-24,207910
2015-07-25,166148
2015-07-26,151535
2015-07-27,187205
2015-07-28,179272
2015-07-29,174925
2015-07-30,168779
2015-07-31,162703
2015-08-01,142047
2015-08-02,144559
2015-08-03,241824
2015-08-04,234331
2015-08-05,230984
2015-08-06,224795
2015-08-07,216810
2015-08-08,185543
2015-08-09,185422
2015-08-10,224834
2015-08-11,224757
2015-08-12,215712
2015-08-13,214767
2015-08-14,213235
2015-08-15,186494
2015-08-16,192775
2015-08-17,239068
2015-08-18,239138
2015-08-19,234820
2015-08-20,233717
2015-08-21,219099
2015-08-22,190227
2015-08-23,186991
2015-08-24,231266
2015-08-25,230034
2015-08-26,230075
2015-08-27,223967
2015-08-28,210923
2015-08-29,193571
2015-08-30,203882
2015-08-31,243807
2015-09-01,233608
2015-09-02,243407
2015-09-03,233071
2015-09-04,221393
2015-09-05,191118
2015-09-06,187266
2015-09-07,219225
2015-09-08,234444
2015-09-09,290441
2015-09-10,293137
2015-09-11,273971
2015-09-12,251139
2015-09-13,259228
2015-09-14,308023
2015-09-15,284214
2015-09-16,268049
2015-09-17,256370
2015-09-18,238504
2015-09-19,215166
2015-09-20,225452
2015-09-21,261004
2015-09-22,254070
2015-09-23,254504
2015-09-24,242801
2015-09-25,232267
2015-09-26,205258
2015-09-27,217077
2015-09-28,259232
2015-09-29,261173
2015-09-30,254784
2015-10-01,256331
2015-10-02,236066
2015-10-03,210617
2015-10-04,224110
2015-10-05,328800
2015-10-06,318828
2015-10-07,312748
2015-10-08,308752
2015-10-09,292254
2015-10-10,256021
2015-10-11,255110
2015-10-12,315664
2015-10-13,305288
2015-10-14,301347
2015-10-15,305341
2015-10-16,280160
2015-10-17,248256
2015-10-18,266201
2015-10-19,299956
2015-10-20,300084
2015-10-21,293950
2015-10-22,286847
2015-10-23,271444
2015-10-24,236324
2015-10-25,244117
2015-10-26,292694
2015-10-27,292848
2015-10-28,292161
2015-10-29,279884
2015-10-30,256816
2015-10-31,223937
2015-11-01,230523
2015-11-02,358261
2015-11-03,356849
2015-11-04,349934
2015-11-05,342148
2015-11-06,322417
2015-11-07,289492
2015-11-08,292900
2015-11-09,339539
2015-11-10,331765
2015-11-11,341749
2015-11-12,326999
2015-11-13,311868
2015-11-14,275300
2015-11-15,289530
2015-11-16,328980
2015-11-17,328259
2015-11-18,316314
2015-11-19,315067
2015-11-20,292937
2015-11-21,263758
2015-11-22,271778
2015-11-23,577070
2015-11-24,554668
2015-11-25,509492
2015-11-26,418398
2015-11-27,451618
2015-11-28,459774
2015-11-29,497181
2015-11-30,621382
2015-12-01,630533
2015-12-02,600478
2015-12-03,574326
2015-12-04,548149
2015-12-05,465526
2015-12-06,491329
2015-12-07,596037
2015-12-08,595538
2015-12-09,579686
2015-12-10,565388
2015-12-11,529235
2015-12-12,475148
2015-12-13,497682
2015-12-14,582723
2015-12-15,572546
2015-12-16,547999
2015-12-17,504438
2015-12-18,462534
2015-12-19,401980
2015-12-20,393777
2015-12-21,468082
2015-12-22,452017
2015-12-23,428452
2015-12-24,374181
2015-12-25,287409
2015-12-26,316004
2015-12-27,340514
2015-12-28,716957
2015-12-29,722013
2015-12-30,697923
2015-12-31,654455
2016-01-01,568212
2016-01-02,632340
2016-01-03,632815
2016-01-04,767658
2016-01-05,754304
2016-01-06,744457
2016-01-07,731545
2016-01-08,706922
2016-01-09,666622
2016-01-10,697839
2016-01-11,777232
2016-01-12,770738
2016-01-13,760201
2016-01-14,754456
2016-01-15,734922
2016-01-16,668382
2016-01-17,686243
2016-01-18,850955
2016-01-19,810225
2016-01-20,800836
2016-01-21,782181
2016-01-22,760959
2016-01-23,735159
2016-01-24,717207
2016-01-25,832742
2016-01-26,834294
2016-01-27,824407
2016-01-28,799244
2016-01-29,742717
2016-01-30,679129
2016-01-31,715464
2016-02-01,818639
2016-02-02,819909
2016-02-03,804434
2016-02-04,777736
2016-02-05,746114
2016-02-06,666578
2016-02-07,678930
2016-02-08,778537
2016-02-09,818312
2016-02-10,793396
2016-02-11,781258
2016-02-12,745721
2016-02-13,684926
2016-02-14,678203
2016-02-15,850126
2016-02-16,849339
2016-02-17,803689
2016-02-18,798098
2016-02-19,732574
2016-02-20,658117
2016-02-21,685861
2016-02-22,819211
2016-02-23,840655
2016-02-24,819058
2016-02-25,805627
2016-02-26,739585
2016-02-27,682490
2016-02-28,710412
2016-02-29,821757
2016-03-01,819463
2016-03-02,802476
2016-03-03,769864
2016-03-04,750481
2016-03-05,682718
2016-03-06,690082
2016-03-07,790150
2016-03-08,791321
2016-03-09,771855
2016-03-10,765996
2016-03-11,722091
2016-03-12,654591
2016-03-13,686418
2016-03-14,803022
2016-03-15,781896
2016-03-16,755565
2016-03-17,733175
2016-03-18,695424
2016-03-19,652810
2016-03-20,671653
2016-03-21,802419
2016-03-22,771796
2016-03-23,752166
2016-03-24,722039
2016-03-25,671606
2016-03-26,604249
2016-03-27,589502
2016-03-28,763058
2016-03-29,771431
2016-03-30,743732
2016-03-31,753076
2016-04-01,683694
2016-04-02,633420
2016-04-03,651737
2016-04-04,764014
2016-04-05,764638
2016-04-06,753335
2016-04-07,738027
2016-04-08,678788
2016-04-09,635791
2016-04-10,659687
2016-04-11,774287
2016-04-12,779150
2016-04-13,756971
2016-04-14,717613
2016-04-15,675083
2016-04-16,600694
2016-04-17,619804
2016-04-18,811528
2016-04-19,812868
2016-04-20,789901
2016-04-21,773747
2016-04-22,724055
2016-04-23,653570
2016-04-24,664339
2016-04-25,777484
2016-04-26,805701
2016-04-27,780073
2016-04-28,760209
2016-04-29,702832
2016-04-30,642557
2016-05-01,671939
2016-05-02,784271
2016-05-03,767492
2016-05-04,748778
2016-05-05,699779
2016-05-06,647154
2016-05-07,588382
2016-05-08,578392
2016-05-09,725211
2016-05-10,737433
2016-05-11,710343
2016-05-12,681311
2016-05-13,648291
2016-05-14,604049
2016-05-15,626484
2016-05-16,745300
2016-05-17,752991
2016-05-18,740560
2016-05-19,713420
2016-05-20,659329
2016-05-21,605626
2016-05-22,620415
2016-05-23,730526
2016-05-24,729809
2016-05-25,706357
2016-05-26,695490
2016-05-27,649850
2016-05-28,577835
2016-05-29,561571
2016-05-30,688847
2016-05-31,737192
2016-06-01,727721
2016-06-02,725133
2016-06-03,686113
2016-06-04,621764
2016-06-05,646845
2016-06-06,774859
2016-06-07,748390
2016-06-08,755660
2016-06-09,732753
2016-06-10,679627
2016-06-11,636781
2016-06-12,623739
2016-06-13,779750
2016-06-14,794826
2016-06-15,782092
2016-06-16,783529
2016-06-17,745940
2016-06-18,641072
2016-06-19,632545
2016-06-20,832941
2016-06-21,834649
2016-06-22,824362
2016-06-23,835817
2016-06-24,765996
2016-06-25,648367
2016-06-26,650589
2016-06-27,787314
2016-06-28,749168
2016-06-29,762322
2016-06-30,744520
2016-07-01,701670
2016-07-02,599275
