date,count
2014-01-01,119351
2014-01-02,130436
2014-01-03,131899
2014-01-04,124083
2014-01-05,123356
2014-01-06,148246
2014-01-07,146755
2014-01-08,143858
2014-01-09,141303
2014-01-10,140060
2014-01-11,136743
2014-01-12,135217
2014-01-13,139676
2014-01-14,139014
2014-01-15,140605
2014-01-16,140455
2014-01-17,139232
2014-01-18,134651
2014-01-19,131168
2014-01-20,142958
2014-01-21,140513
2014-01-22,140206
2014-01-23,136855
2014-01-24,135642
2014-01-25,131275
2014-01-26,129984
2014-01-27,136076
2014-01-28,137094
2014-01-29,134705
2014-01-30,132228
2014-01-31,129648
2014-02-01,126113
2014-02-02,124203
2014-02-03,155412
2014-02-04,155853
2014-02-05,158129
2014-02-06,153752
2014-02-07,151066
2014-02-08,147126
2014-02-09,145808
2014-02-10,149480
2014-02-11,148344
2014-02-12,147964
2014-02-13,148870
2014-02-14,145608
2014-02-15,137705
2014-02-16,135851
2014-02-17,145844
2014-02-18,142827
2014-02-19,140328
2014-02-20,138602
2014-02-21,136557
2014-02-22,130075
2014-02-23,129243
2014-02-24,133975
2014-02-25,133327
2014-02-26,133167
2014-02-27,131913
2014-02-28,129818
2014-03-01,125558
2014-03-02,125317
2014-03-03,152605
2014-03-04,149233
2014-03-05,144297
2014-03-06,144268
2014-03-07,141864
2014-03-08,135934
2014-03-09,134861
2014-03-10,139771
2014-03-11,137878
2014-03-12,140693
2014-03-13,138755
2014-03-14,135102
2014-03-15,128609
2014-03-16,129773
2014-03-17,135210
2014-03-18,133233
2014-03-19,132024
2014-03-20,130095
2014-03-21,126833
2014-03-22,120513
2014-03-23,121881
2014-03-24,126151
2014-03-25,125869
2014-03-26,124947
2014-03-27,122687
2014-03-28,121025
2014-03-29,116830
2014-03-30,116174
2014-03-31,119822
2014-04-01,118980
2014-04-02,117002
2014-04-03,115889
2014-04-04,113815
2014-04-05,108726
2014-04-06,108593
2014-04-07,134150
2014-04-08,132627
2014-04-09,130991
2014-04-10,129721
2014-04-11,126619
2014-04-12,120375
2014-04-13,120498
2014-04-14,129925
2014-04-15,130638
2014-04-16,127348
2014-04-17,123604
2014-04-18,121968
2014-04-19,112750
2014-04-20,108041
2014-04-21,120361
2014-04-22,115396
2014-04-23,114332
2014-04-24,116090
2014-04-25,112949
2014-04-26,107029
2014-04-27,108517
2014-04-28,114504
2014-04-29,114416
2014-04-30,113587
2014-05-01,110765
2014-05-02,106808
2014-05-03,102782
2014-05-04,103324
2014-05-05,134185
2014-05-06,132854
2014-05-07,129144
2014-05-08,129711
2014-05-09,125632
2014-05-10,119083
2014-05-11,116090
2014-05-12,124379
2014-05-13,124323
2014-05-14,124326
2014-05-15,122973
2014-05-16,118379
2014-05-17,111571
2014-05-18,110154
2014-05-19,118302
2014-05-20,117603
2014-05-21,115730
2014-05-22,113994
2014-05-23,110341
2014-05-24,102205
2014-05-25,96923
2014-05-26,105473
2014-05-27,110639
2014-05-28,111493
2014-05-29,110144
2014-05-30,106547
2014-05-31,100154
2014-06-01,99147
2014-06-02,107049
2014-06-03,106420
2014-06-04,105250
2014-06-05,105168
2014-06-06,101704
2014-06-07,93075
2014-06-08,92463
2014-06-09,102468
2014-06-10,102751
2014-06-11,101847
2014-06-12,101588
2014-06-13,98999
2014-06-14,102965
2014-06-15,99968
2014-06-16,112167
2014-06-17,111938
2014-06-18,110702
2014-06-19,109781
2014-06-20,106836
2014-06-21,97177
2014-06-22,95276
2014-06-23,106335
2014-06-24,106935
2014-06-25,105759
2014-06-26,103778
2014-06-27,101397
2014-06-28,92038
2014-06-29,90035
2014-06-30,100905
2014-07-01,100944
2014-07-02,99901
2014-07-03,96069
2014-07-04,85632
2014-07-05,78267
2014-07-06,82530
2014-07-07,112843
2014-07-08,113385
2014-07-09,112328
2014-07-10,112414
2014-07-11,108567
2014-07-12,99521
2014-07-13,97069
2014-07-14,109626
2014-07-15,108400
2014-07-16,106598
2014-07-17,103675
2014-07-18,100804
2014-07-19,91276
2014-07-20,89697
2014-07-21,100811
2014-07-22,100594
2014-07-23,99700
2014-07-24,98340
2014-07-25,95297
2014-07-26,86703
2014-07-27,85826
2014-07-28,96605
2014-07-29,95627
2014-07-30,94736
2014-07-31,93715
2014-08-01,91735
2014-08-02,83773
2014-08-03,81988
2014-08-04,109308
2014-08-05,108903
2014-08-06,107040
2014-08-07,104546
2014-08-08,102091
2014-08-09,93331
2014-08-10,91989
2014-08-11,102611
2014-08-12,103192
2014-08-13,101754
2014-08-14,99849
2014-08-15,97816
2014-08-16,90283
2014-08-17,89746
2014-08-18,98563
2014-08-19,98593
2014-08-20,97701
2014-08-21,96080
2014-08-22,93631
2014-08-23,87736
2014-08-24,86690
2014-08-25,94086
2014-08-26,93363
2014-08-27,92605
2014-08-28,91988
2014-08-29,90365
2014-08-30,82587
2014-08-31,79916
2014-09-01,88270
2014-09-02,110720
2014-09-03,109857
2014-09-04,106998
2014-09-05,103790
2014-09-06,98014
2014-09-07,98373
2014-09-08,103517
2014-09-09,102858
2014-09-10,101229
2014-09-11,99508
2014-09-12,97803
2014-09-13,92423
2014-09-14,92933
2014-09-15,98316
2014-09-16,97328
2014-09-17,95428
2014-09-18,94279
2014-09-19,91402
2014-09-20,86216
2014-09-21,87410
2014-09-22,92871
2014-09-23,91072
2014-09-24,90079
2014-09-25,88347
2014-09-26,85021
2014-09-27,80107
2014-09-28,81311
2014-09-29,87360
2014-09-30,85585
2014-10-01,84847
2014-10-02,81920
2014-10-03,79966
2014-10-04,75190
2014-10-05,75770
2014-10-06,101127
2014-10-07,100741
2014-10-08,100038
2014-10-09,98540
2014-10-10,96317
2014-10-11,89526
2014-10-12,90092
2014-10-13,99195
2014-10-14,98040
2014-10-15,98970
2014-10-16,98482
2014-10-17,95496
2014-10-18,88925
2014-10-19,89814
2014-10-20,97466
2014-10-21,96690
2014-10-22,96430
2014-10-23,94493
2014-10-24,91906
2014-10-25,84958
2014-10-26,85996
2014-10-27,93309
2014-10-28,92621
2014-10-29,91499
2014-10-30,89437
2014-10-31,85617
2014-11-01,80381
2014-11-02,82849
2014-11-03,121942
2014-11-04,122540
2014-11-05,119435
2014-11-06,118405
2014-11-07,115681
2014-11-08,106842
2014-11-09,106172
2014-11-10,115612
2014-11-11,117606
2014-11-12,115524
2014-11-13,114628
2014-11-14,112462
2014-11-15,104619
2014-11-16,104159
2014-11-17,113150
2014-11-18,111003
2014-11-19,109498
2014-11-20,108727
2014-11-21,106756
2014-11-22,99732
2014-11-23,98551
2014-11-24,106229
2014-11-25,104521
2014-11-26,102329
2014-11-27,90827
2014-11-28,90600
2014-11-29,90121
2014-11-30,92346
2014-12-01,102538
2014-12-02,102322
2014-12-03,100020
2014-12-04,98413
2014-12-05,96343
2014-12-06,90374
2014-12-07,89114
2014-12-08,96775
2014-12-09,96893
2014-12-10,94859
2014-12-11,94194
2014-12-12,91786
2014-12-13,109691
2014-12-14,107827
2014-12-15,117320
2014-12-16,114393
2014-12-17,112299
2014-12-18,110853
2014-12-19,106379
2014-12-20,98036
2014-12-21,94169
2014-12-22,103202
2014-12-23,102192
2014-12-24,96182
2014-12-25,83468
2014-12-26,88531
2014-12-27,86154
2014-12-28,85532
2014-12-29,95544
2014-12-30,95534
2014-12-31,93499
2015-01-01,83610
2015-01-02,92305
2015-01-03,88199
2015-01-04,88212
2015-01-05,96604
2015-01-06,117881
2015-01-07,117261
2015-01-08,116634
2015-01-09,114489
2015-01-10,106291
2015-01-11,104947
2015-01-12,115956
2015-01-13,114654
2015-01-14,115925
2015-01-15,115019
2015-01-16,112410
2015-01-17,103396
2015-01-18,100585
2015-01-19,113021
2015-01-20,113219
2015-01-21,113083
2015-01-22,111264
2015-01-23,109450
2015-01-24,101819
2015-01-25,100272
2015-01-26,110317
2015-01-27,109059
2015-01-28,105492
2015-01-29,103978
2015-01-30,103937
2015-01-31,96895
2015-02-01,95649
2015-02-02,132549
2015-02-03,133651
2015-02-04,131220
2015-02-05,129741
2015-02-06,126027
2015-02-07,116274
2015-02-08,115406
2015-02-09,127059
2015-02-10,125497
2015-02-11,124045
2015-02-12,123233
2015-02-13,119973
2015-02-14,108853
2015-02-15,106141
2015-02-16,118863
2015-02-17,118842
2015-02-18,117494
2015-02-19,116285
2015-02-20,113171
2015-02-21,102626
2015-02-22,94580
2015-02-23,104083
2015-02-24,106837
2015-02-25,107523
2015-02-26,107765
2015-02-27,105249
2015-02-28,97768
2015-03-01,97843
2015-03-02,127415
2015-03-03,125764
2015-03-04,124462
2015-03-05,124112
2015-03-06,120127
2015-03-07,109176
2015-03-08,108070
2015-03-09,118122
2015-03-10,116388
2015-03-11,115839
2015-03-12,114116
2015-03-13,109921
2015-03-14,100539
2015-03-15,99134
2015-03-16,109094
2015-03-17,107993
2015-03-18,105453
2015-03-19,104978
2015-03-20,103056
2015-03-21,92243
2015-03-22,92609
2015-03-23,102788
2015-03-24,102797
2015-03-25,100780
2015-03-26,100225
2015-03-27,98253
2015-03-28,89565
2015-03-29,89031
2015-03-30,99331
2015-03-31,99306
2015-04-01,98236
2015-04-02,96092
2015-04-03,93490
2015-04-04,84475
2015-04-05,80617
2015-04-06,113947
2015-04-07,115567
2015-04-08,114698
2015-04-09,113442
2015-04-10,110306
2015-04-11,99783
2015-04-12,99612
2015-04-13,112267
2015-04-14,113179
2015-04-15,113587
2015-04-16,112070
2015-04-17,107522
2015-04-18,97372
2015-04-19,98720
2015-04-20,110068
2015-04-21,108967
2015-04-22,108390
2015-04-23,106870
2015-04-24,103152
2015-04-25,95289
2015-04-26,94657
2015-04-27,105007
2015-04-28,104377
2015-04-29,103201
2015-04-30,102025
2015-05-01,98175
2015-05-02,88419
2015-05-03,87922
2015-05-04,126699
2015-05-05,126619
2015-05-06,124592
2015-05-07,119913
2015-05-08,113082
2015-05-09,103083
2015-05-10,101129
2015-05-11,115613
2015-05-12,116082
2015-05-13,115561
2015-05-14,113507
2015-05-15,110413
2015-05-16,100874
2015-05-17,100055
2015-05-18,112155
2015-05-19,111945
2015-05-20,110360
2015-05-21,108298
2015-05-22,104461
2015-05-23,92299
2015-05-24,88150
2015-05-25,96751
2015-05-26,106115
2015-05-27,106291
2015-05-28,104350
2015-05-29,101834
2015-05-30,92970
2015-05-31,93044
