date,count
2014-01-01,15612319
2014-01-02,17138272
2014-01-03,17520631
2014-01-04,16776238
2014-01-05,16932454
2014-01-06,19261587
2014-01-07,19104861
2014-01-08,18077188
2014-01-09,17020310
2014-01-10,16726573
2014-01-11,17361623
2014-01-12,17475812
2014-01-13,16206219
2014-01-14,15849343
2014-01-15,16214615
2014-01-16,16315749
2014-01-17,16561551
2014-01-18,17455865
2014-01-19,17418005
2014-01-20,18460566
2014-01-21,17308790
2014-01-22,17657156
2014-01-23,16481241
2014-01-24,16325228
2014-01-25,17177483
2014-01-26,18169756
2014-01-27,16443192
2014-01-28,16836810
2014-01-29,16768948
2014-01-30,15823009
2014-01-31,15001834
2014-02-01,15794395
2014-02-02,15598989
2014-02-03,18129099
2014-02-04,17361519
2014-02-05,18867151
2014-02-06,18072243
2014-02-07,17554099
2014-02-08,18006607
2014-02-09,18021516
2014-02-10,17322584
2014-02-11,16953873
2014-02-12,17390734
2014-02-13,17821606
2014-02-14,17587451
2014-02-15,17679958
2014-02-16,17358629
2014-02-17,18627989
2014-02-18,17292342
2014-02-19,16652045
2014-02-20,16162290
2014-02-21,15883501
2014-02-22,15703770
2014-02-23,15801144
2014-02-24,14850253
2014-02-25,14963701
2014-02-26,14736420
2014-02-27,15081860
2014-02-28,14882165
2014-03-01,15281959
2014-03-02,15699285
2014-03-03,18266042
2014-03-04,17378668
2014-03-05,16513129
2014-03-06,16707437
2014-03-07,16194305
2014-03-08,16659523
2014-03-09,16927410
2014-03-10,16646616
2014-03-11,16480383
2014-03-12,17720282
2014-03-13,18015609
2014-03-14,16895891
2014-03-15,17030716
2014-03-16,18053483
2014-03-17,19033191
2014-03-18,18969233
2014-03-19,20170806
2014-03-20,18905943
2014-03-21,18403857
2014-03-22,18744566
2014-03-23,19945854
2014-03-24,14263948
2014-03-25,13698388
2014-03-26,13687857
2014-03-27,13321580
2014-03-28,13074282
2014-03-29,13155222
2014-03-30,13323702
2014-03-31,12704209
2014-04-01,12617130
2014-04-02,12344688
2014-04-03,12485583
2014-04-04,11768863
2014-04-05,11851986
2014-04-06,12136804
2014-04-07,14382237
2014-04-08,14330220
2014-04-09,13760058
2014-04-10,13575311
2014-04-11,13126468
2014-04-12,12977110
2014-04-13,13419396
2014-04-14,14209446
2014-04-15,14698963
2014-04-16,13941059
2014-04-17,13734425
2014-04-18,13465645
2014-04-19,12436059
2014-04-20,11958802
2014-04-21,13427315
2014-04-22,12706925
2014-04-23,12379442
2014-04-24,12574192
2014-04-25,11827311
2014-04-26,12286106
2014-04-27,12689709
2014-04-28,12514412
2014-04-29,12686519
2014-04-30,12957847
2014-05-01,12068754
2014-05-02,11206516
2014-05-03,11501092
2014-05-04,11904272
2014-05-05,14735451
2014-05-06,14643718
2014-05-07,14323433
2014-05-08,13854729
2014-05-09,13344623
2014-05-10,13687433
2014-05-11,13049002
2014-05-12,13454275
2014-05-13,13916022
2014-05-14,13683561
2014-05-15,13261036
2014-05-16,12717367
2014-05-17,12630002
2014-05-18,12217904
2014-05-19,12832322
2014-05-20,12582729
2014-05-21,12409829
2014-05-22,12076149
2014-05-23,11374375
2014-05-24,11391248
2014-05-25,10678901
2014-05-26,11743633
2014-05-27,11909330
2014-05-28,12308163
2014-05-29,11788859
2014-05-30,11568248
2014-05-31,11141992
2014-06-01,10886650
2014-06-02,11800719
2014-06-03,12161423
2014-06-04,11588672
2014-06-05,11648901
2014-06-06,11147927
2014-06-07,10435836
2014-06-08,10500179
2014-06-09,11532151
2014-06-10,11554781
2014-06-11,11740119
2014-06-12,11517941
2014-06-13,11590130
2014-06-14,12310120
2014-06-15,12014057
2014-06-16,13393833
2014-06-17,13432985
2014-06-18,14160115
2014-06-19,13843075
2014-06-20,13320359
2014-06-21,12239069
2014-06-22,12236355
2014-06-23,13231877
2014-06-24,13130303
2014-06-25,13457524
2014-06-26,13558178
2014-06-27,13129668
2014-06-28,12069699
2014-06-29,11950295
2014-06-30,12629292
2014-07-01,11397989
2014-07-02,11314296
2014-07-03,10505555
2014-07-04,9092384
2014-07-05,8071655
2014-07-06,8751589
2014-07-07,11942932
2014-07-08,12115320
2014-07-09,11742725
2014-07-10,11956290
2014-07-11,11610453
2014-07-12,10601272
2014-07-13,10673063
2014-07-14,11923002
2014-07-15,11912099
2014-07-16,11489351
2014-07-17,11161170
2014-07-18,10573536
2014-07-19,9517876
2014-07-20,9411925
2014-07-21,10685076
2014-07-22,10743548
2014-07-23,10726225
2014-07-24,10447326
2014-07-25,10137653
2014-07-26,9256275
2014-07-27,9161407
2014-07-28,10428696
2014-07-29,10439485
2014-07-30,10294614
2014-07-31,10208446
2014-08-01,9723714
2014-08-02,9064252
2014-08-03,9002838
2014-08-04,12612447
2014-08-05,12166089
2014-08-06,11852130
2014-08-07,11868259
2014-08-08,11158262
2014-08-09,10626627
2014-08-10,10556954
2014-08-11,11372408
2014-08-12,11101372
2014-08-13,10856191
2014-08-14,10390621
2014-08-15,10400147
2014-08-16,10011992
2014-08-17,9793868
2014-08-18,10616004
2014-08-19,10484038
2014-08-20,10236456
2014-08-21,10112214
2014-08-22,10002625
2014-08-23,9536209
2014-08-24,9422765
2014-08-25,10066080
2014-08-26,9636321
2014-08-27,9463846
2014-08-28,9566535
2014-08-29,9278832
2014-08-30,8877745
2014-08-31,8880107
2014-09-01,9839714
2014-09-02,11991837
2014-09-03,11563442
2014-09-04,11120715
2014-09-05,10949378
2014-09-06,10955555
2014-09-07,10706309
2014-09-08,11125718
2014-09-09,11165634
2014-09-10,10611592
2014-09-11,10308083
2014-09-12,10005252
2014-09-13,9995072
2014-09-14,10140983
2014-09-15,10214233
2014-09-16,10163750
2014-09-17,9805998
2014-09-18,9382957
2014-09-19,9271961
2014-09-20,9028305
2014-09-21,9421067
2014-09-22,9517391
2014-09-23,9429368
2014-09-24,9299236
2014-09-25,9080486
2014-09-26,8599530
2014-09-27,8433075
2014-09-28,8835040
2014-09-29,8908333
2014-09-30,8712435
2014-10-01,8668166
2014-10-02,8308642
2014-10-03,8053660
2014-10-04,8089555
2014-10-05,8203380
2014-10-06,11606962
2014-10-07,11268681
2014-10-08,11443691
2014-10-09,10801744
2014-10-10,10915465
2014-10-11,10437591
2014-10-12,10657149
2014-10-13,11803041
2014-10-14,11485843
2014-10-15,11235734
2014-10-16,11369288
2014-10-17,11029115
2014-10-18,10639622
2014-10-19,11281630
2014-10-20,11571745
2014-10-21,11069121
2014-10-22,11164585
2014-10-23,10354697
2014-10-24,10099733
2014-10-25,9863311
2014-10-26,10103037
2014-10-27,10688525
2014-10-28,10425728
2014-10-29,10132459
2014-10-30,9883057
2014-10-31,9536334
2014-11-01,9601641
2014-11-02,9764498
2014-11-03,15180996
2014-11-04,15072678
2014-11-05,14751989
2014-11-06,15131967
2014-11-07,14193464
2014-11-08,12962838
2014-11-09,13502254
2014-11-10,14445053
2014-11-11,14991329
2014-11-12,14192660
2014-11-13,14248893
2014-11-14,13680638
2014-11-15,13401262
2014-11-16,13341180
2014-11-17,14559537
2014-11-18,14258196
2014-11-19,13791028
2014-11-20,13493898
2014-11-21,13902585
2014-11-22,12570572
2014-11-23,12473466
2014-11-24,12883482
2014-11-25,12517071
2014-11-26,12264121
2014-11-27,10952651
2014-11-28,11353310
2014-11-29,11757816
2014-11-30,12219973
2014-12-01,12934261
2014-12-02,12738087
2014-12-03,12028637
2014-12-04,11723839
2014-12-05,11758039
2014-12-06,11012460
2014-12-07,11027171
2014-12-08,11782046
2014-12-09,11850141
2014-12-10,11406443
2014-12-11,11388565
2014-12-12,10695368
2014-12-13,13174986
2014-12-14,13412628
2014-12-15,14249432
2014-12-16,13922098
2014-12-17,13436029
2014-12-18,13621667
2014-12-19,13257967
2014-12-20,12669160
2014-12-21,12328884
2014-12-22,13367766
2014-12-23,13162832
2014-12-24,12035396
2014-12-25,10215524
2014-12-26,11639078
2014-12-27,11720272
2014-12-28,11527156
2014-12-29,13137904
2014-12-30,12678367
2014-12-31,12104083
2015-01-01,10844085
2015-01-02,12122556
2015-01-03,11738767
2015-01-04,11536201
2015-01-05,12371354
2015-01-06,15669280
2015-01-07,15149198
2015-01-08,15576795
2015-01-09,14971363
2015-01-10,14036289
2015-01-11,14151445
2015-01-12,15297445
2015-01-13,15232580
2015-01-14,14942987
2015-01-15,14847674
2015-01-16,14529223
2015-01-17,13486277
2015-01-18,13510533
2015-01-19,15043792
2015-01-20,14696678
2015-01-21,14760202
2015-01-22,14668579
2015-01-23,14320089
2015-01-24,13438298
2015-01-25,13364368
2015-01-26,14019806
2015-01-27,13199865
2015-01-28,11970842
2015-01-29,11881595
2015-01-30,12748573
2015-01-31,12540261
2015-02-01,13007994
2015-02-02,17011817
2015-02-03,17514928
2015-02-04,17252931
2015-02-05,16871523
2015-02-06,16435985
2015-02-07,15052739
2015-02-08,15490312
2015-02-09,16591361
2015-02-10,15961985
2015-02-11,15811972
2015-02-12,15346992
2015-02-13,15137005
2015-02-14,14174966
2015-02-15,14204763
2015-02-16,15309672
2015-02-17,15661561
2015-02-18,14914020
2015-02-19,14694052
2015-02-20,14038387
2015-02-21,13080602
2015-02-22,12163408
2015-02-23,13135378
2015-02-24,13205520
2015-02-25,12813290
2015-02-26,13216578
2015-02-27,12940978
2015-02-28,12627172
2015-03-01,12559747
2015-03-02,16051565
2015-03-03,16215721
2015-03-04,15303217
2015-03-05,16069650
2015-03-06,14981927
2015-03-07,14218021
2015-03-08,14608749
2015-03-09,15055502
2015-03-10,14571482
2015-03-11,14257541
2015-03-12,17884569
2015-03-13,19075754
2015-03-14,17967978
2015-03-15,17820890
2015-03-16,18166954
2015-03-17,17521280
2015-03-18,16361478
2015-03-19,17633694
2015-03-20,16647689
2015-03-21,16204836
2015-03-22,16377740
2015-03-23,17003082
2015-03-24,16574746
2015-03-25,16688569
2015-03-26,16959431
2015-03-27,15604729
2015-03-28,15777840
2015-03-29,16269100
2015-03-30,16845428
2015-03-31,14577486
2015-04-01,11003909
2015-04-02,10687423
2015-04-03,10883317
2015-04-04,10026167
2015-04-05,9869914
2015-04-06,13253209
2015-04-07,13191355
2015-04-08,13393144
2015-04-09,13467199
2015-04-10,12786614
2015-04-11,12211407
2015-04-12,12280747
2015-04-13,12402897
2015-04-14,12628931
2015-04-15,12871910
2015-04-16,13130407
2015-04-17,12985906
2015-04-18,11586635
2015-04-19,11742496
2015-04-20,13063148
2015-04-21,13284315
2015-04-22,12599706
2015-04-23,12199307
2015-04-24,11522011
2015-04-25,11465543
2015-04-26,11596379
2015-04-27,12433186
2015-04-28,12256003
2015-04-29,11927011
2015-04-30,11786752
2015-05-01,11073546
2015-05-02,10469824
2015-05-03,10077691
2015-05-04,14120999
2015-05-05,14659950
2015-05-06,13975150
2015-05-07,12999272
2015-05-08,12387213
2015-05-09,11347523
2015-05-10,11309442
2015-05-11,12711739
2015-05-12,13117325
2015-05-13,12687287
2015-05-14,12551360
2015-05-15,12284016
2015-05-16,11743104
2015-05-17,11580008
2015-05-18,12914526
2015-05-19,13202884
2015-05-20,12980524
2015-05-21,12645381
2015-05-22,12015583
2015-05-23,10759539
2015-05-24,10809300
2015-05-25,11577260
2015-05-26,12392024
2015-05-27,12429390
2015-05-28,11802321
2015-05-29,11198681
2015-05-30,10687284
2015-05-31,10726641
2015-06-01,14708340
2015-06-02,14690458
2015-06-03,14426961
2015-06-04,14095655
2015-06-05,13374952
2015-06-06,12306565
2015-06-07,12162719
2015-06-08,14011694
2015-06-09,14622964
2015-06-10,13748645
2015-06-11,14052444
2015-06-12,13470948
2015-06-13,11853164
